preco_max,preco_min,preco_fecho,quantidade_total,total_ordens_dia,date,news_count,weighted_sum,total_relevance,avg_score,avg_relevance,positive_count,neutral_count,negative_count,signal,positive_share,neutral_share,negative_share,return,intraday_range,return_next_day,direction_next_day,close_next_day
330.0,300.0,330.0,29,21,2026-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,0.05454545454545445,1.0,348.0
367.0,348.0,348.0,146,88,2026-01-05,14.0,-0.3008,2.99,-0.03785714285714286,0.21357142857142858,0.0,12.0,2.0,-0.10060200668896321,0.0,0.8571428571428571,0.14285714285714285,0.05454545454545445,19.0,0.024425287356321768,1.0,356.5
356.5,339.0,356.5,75,55,2026-01-06,13.0,-0.12400000000000001,1.82,-0.011538461538461537,0.14,0.0,12.0,1.0,-0.06813186813186814,0.0,0.9230769230769231,0.07692307692307693,0.024425287356321768,17.5,0.1107994389901823,1.0,396.0
400.0,365.01,396.0,232,161,2026-01-07,14.0,0.053399999999999996,1.78,0.022857142857142857,0.12714285714285714,0.0,14.0,0.0,0.03,0.0,1.0,0.0,0.1107994389901823,34.99000000000001,-0.08080808080808077,0.0,364.0
384.0,364.0,364.0,72,53,2026-01-08,12.0,0.1886,1.76,0.03166666666666667,0.14666666666666667,1.0,11.0,0.0,0.1071590909090909,0.08333333333333333,0.9166666666666666,0.0,-0.08080808080808077,20.0,-0.016483516483516536,0.0,358.0
375.0,349.01,358.0,61,37,2026-01-09,12.0,0.041,1.46,0.012500000000000002,0.12166666666666666,0.0,12.0,0.0,0.02808219178082192,0.0,1.0,0.0,-0.016483516483516536,25.99000000000001,-0.030726256983240274,0.0,347.0
364.0,338.0,347.0,75,61,2026-01-12,17.0,0.7696,3.19,0.06,0.18764705882352942,1.0,16.0,0.0,0.2412539184952978,0.058823529411764705,0.9411764705882353,0.0,-0.030726256983240274,26.0,0.03746397694524495,1.0,360.0
369.0,356.0,360.0,69,53,2026-01-13,17.0,0.066,2.01,0.019999999999999997,0.11823529411764705,0.0,17.0,0.0,0.032835820895522394,0.0,1.0,0.0,0.03746397694524495,13.0,-0.019444444444444486,0.0,353.0
360.0,350.0,353.0,47,30,2026-01-14,11.0,0.7734,1.94,0.08727272727272727,0.17636363636363636,1.0,10.0,0.0,0.398659793814433,0.09090909090909091,0.9090909090909091,0.0,-0.019444444444444486,10.0,-0.04249291784702547,0.0,338.0
360.0,337.0,338.0,117,82,2026-01-15,15.0,0.52,2.36,0.05333333333333334,0.15733333333333333,1.0,14.0,0.0,0.22033898305084748,0.06666666666666667,0.9333333333333333,0.0,-0.04249291784702547,23.0,-0.044378698224852076,0.0,323.0
332.0,316.0,323.0,116,87,2026-01-16,11.0,0.032,1.23,0.01363636363636364,0.11181818181818182,0.0,11.0,0.0,0.026016260162601626,0.0,1.0,0.0,-0.044378698224852076,16.0,0.07120743034055721,1.0,346.0
350.0,338.0,346.0,83,53,2026-01-19,19.0,0.3141,4.47,0.006315789473684213,0.23526315789473684,1.0,16.0,2.0,0.07026845637583892,0.05263157894736842,0.8421052631578947,0.10526315789473684,0.07120743034055721,12.0,0.07832369942196538,1.0,373.1
375.0,367.0,373.1,131,104,2026-01-20,12.0,0.022,1.3499999999999999,0.014166666666666668,0.11249999999999999,0.0,12.0,0.0,0.0162962962962963,0.0,1.0,0.0,0.07832369942196538,8.0,-0.04047172339855276,0.0,358.0
366.0,354.0,358.0,88,69,2026-01-21,18.0,-0.052399999999999995,2.48,-0.0005555555555555552,0.13777777777777778,0.0,17.0,1.0,-0.021129032258064513,0.0,0.9444444444444444,0.05555555555555555,-0.04047172339855276,12.0,-0.06424581005586594,0.0,335.0
342.0,325.0,335.0,137,91,2026-01-22,16.0,-0.2032,2.49,-0.025625000000000002,0.155625,0.0,13.0,3.0,-0.08160642570281124,0.0,0.8125,0.1875,-0.06424581005586594,17.0,-0.032835820895522394,0.0,324.0
325.0,315.0,324.0,78,63,2026-01-23,11.0,0.21980000000000002,1.85,0.035454545454545454,0.16818181818181818,1.0,10.0,0.0,0.11881081081081082,0.09090909090909091,0.9090909090909091,0.0,-0.032835820895522394,10.0,-0.09722222222222221,0.0,292.5
