date,news_count,signal,avg_score,avg_relevance,max_relevance,score_std,positive_count,neutral_count,negative_count,positive_share,neutral_share,negative_share,signal_ma_3,signal_ma_5,signal_ma_7
2026-01-05,14,0.0948,0.0236,0.2736,0.88,0.2635,2,10,2,0.1429,0.7143,0.1429,0.0948,0.0948,0.0948
2026-01-06,13,-0.1159,-0.0231,0.1754,0.78,0.1174,0,11,2,0.0,0.8462,0.1538,-0.0105,-0.0105,-0.0105
2026-01-07,14,-0.0812,-0.0079,0.1857,0.68,0.1394,0,12,2,0.0,0.8571,0.1429,-0.0341,-0.0341,-0.0341
2026-01-08,12,0.0352,0.0308,0.1367,0.26,0.0419,0,11,1,0.0,0.9167,0.0833,-0.0539,-0.0167,-0.0167
2026-01-09,12,-0.2087,-0.0192,0.2117,0.88,0.2259,1,10,1,0.0833,0.8333,0.0833,-0.0849,-0.0551,-0.0551
2026-01-12,17,0.2243,0.0712,0.2412,0.97,0.2199,1,15,1,0.0588,0.8824,0.0588,0.0169,-0.0292,-0.0086
2026-01-13,17,-0.0052,0.0229,0.1594,0.58,0.1091,1,15,1,0.0588,0.8824,0.0588,0.0035,-0.0071,-0.0081
2026-01-14,11,0.224,0.0345,0.2391,0.97,0.3099,1,8,2,0.0909,0.7273,0.1818,0.1477,0.0539,0.0104
2026-01-15,15,0.1607,0.0487,0.2133,0.86,0.2144,1,12,2,0.0667,0.8,0.1333,0.1265,0.079,0.0499
2026-01-16,11,0.1721,0.0645,0.2482,0.91,0.2428,1,9,1,0.0909,0.8182,0.0909,0.1856,0.1552,0.0861
2026-01-17,1,0.0,0.0,0.05,0.05,0.0,0,1,0,0.0,1.0,0.0,0.1109,0.1103,0.081
2026-01-18,1,0.02,0.02,0.12,0.12,0.0,0,1,0,0.0,1.0,0.0,0.064,0.1154,0.1137
2026-01-19,17,0.019,0.0406,0.2824,0.93,0.3113,2,13,2,0.1176,0.7647,0.1176,0.013,0.0744,0.0844
2026-01-20,12,0.0476,0.0408,0.1375,0.22,0.0261,0,12,0,0.0,1.0,0.0,0.0289,0.0517,0.0919
2026-01-21,18,-0.1558,-0.0161,0.1939,0.78,0.1841,0,16,2,0.0,0.8889,0.1111,-0.0297,-0.0138,0.0377
2026-01-22,16,-0.0002,0.0175,0.2688,0.78,0.2091,1,12,3,0.0625,0.75,0.1875,-0.0361,-0.0139,0.0147
2026-01-23,11,0.1748,0.0745,0.24,0.74,0.2539,1,9,1,0.0909,0.8182,0.0909,0.0063,0.0171,0.0151
2026-01-26,13,-0.0049,0.0015,0.3092,0.92,0.286,1,9,3,0.0769,0.6923,0.2308,0.0566,0.0123,0.0144
2026-01-27,16,-0.2992,-0.1056,0.2756,0.82,0.2251,0,11,5,0.0,0.6875,0.3125,-0.0431,-0.0571,-0.0312
2026-01-28,10,-0.0313,-0.009,0.177,0.28,0.1105,0,8,2,0.0,0.8,0.2,-0.1118,-0.0321,-0.0384
2026-01-29,16,0.1589,0.0725,0.3694,0.9,0.3148,3,10,3,0.1875,0.625,0.1875,-0.0572,-0.0003,-0.0225
2026-01-30,12,0.0617,0.0367,0.2608,0.97,0.3426,1,10,1,0.0833,0.8333,0.0833,0.0631,-0.0229,0.0086
2026-02-02,19,0.0575,0.0226,0.3747,0.94,0.3517,4,10,5,0.2105,0.5263,0.2632,0.0927,-0.0105,0.0168
2026-02-03,16,0.3631,0.1044,0.2081,0.97,0.2233,2,14,0,0.125,0.875,0.0,0.1608,0.122,0.0437
2026-02-04,18,0.368,0.1478,0.2361,0.98,0.2482,3,15,0,0.1667,0.8333,0.0,0.2629,0.2019,0.097
2026-02-05,14,-0.1927,-0.0557,0.1964,0.74,0.1665,0,11,3,0.0,0.7857,0.2143,0.1795,0.1315,0.1122
2026-02-06,15,0.048,0.0333,0.1287,0.24,0.0285,0,15,0,0.0,1.0,0.0,0.0744,0.1288,0.1235
2026-02-09,16,0.2756,0.1275,0.2856,0.93,0.2895,4,10,2,0.25,0.625,0.125,0.0436,0.1724,0.1402
2026-02-10,16,-0.0848,-0.015,0.3325,0.9,0.2938,1,12,3,0.0625,0.75,0.1875,0.0796,0.0828,0.1192
2026-02-11,17,0.0656,0.0465,0.2971,0.84,0.3108,2,13,2,0.1176,0.7647,0.1176,0.0855,0.0223,0.1204
2026-02-12,16,0.1724,0.0412,0.275,0.78,0.2793,2,10,4,0.125,0.625,0.25,0.0511,0.0954,0.0932
2026-02-13,17,0.0156,0.0447,0.1835,0.55,0.1135,2,14,1,0.1176,0.8235,0.0588,0.0846,0.0889,0.0428
2026-02-18,12,0.09,0.0458,0.1733,0.43,0.0813,1,10,1,0.0833,0.8333,0.0833,0.0927,0.0518,0.0832
2026-02-19,15,0.0432,0.0313,0.128,0.24,0.0344,0,15,0,0.0,1.0,0.0,0.0496,0.0774,0.0825
2026-02-20,16,-0.126,-0.0381,0.1869,0.74,0.2788,2,12,2,0.125,0.75,0.125,0.0024,0.0391,0.0252
2026-02-23,17,0.1227,0.0547,0.22,0.78,0.1954,1,15,1,0.0588,0.8824,0.0588,0.0133,0.0291,0.0548
2026-02-24,14,-0.0825,-0.0136,0.2321,0.66,0.1309,0,12,2,0.0,0.8571,0.1429,-0.0286,0.0095,0.0336
2026-02-25,15,-0.1362,-0.0313,0.216,0.62,0.2131,1,11,3,0.0667,0.7333,0.2,-0.032,-0.0357,-0.0104
2026-02-26,15,-0.348,-0.124,0.3447,0.91,0.2923,1,10,4,0.0667,0.6667,0.2667,-0.1889,-0.114,-0.0624
2026-02-27,16,-0.1845,-0.0375,0.265,0.88,0.1937,0,13,3,0.0,0.8125,0.1875,-0.2229,-0.1257,-0.1016
2026-03-02,13,0.0753,0.0615,0.1654,0.34,0.083,1,12,0,0.0769,0.9231,0.0,-0.1524,-0.1352,-0.097
2026-03-03,17,0.1783,0.0665,0.2018,0.7,0.2179,2,14,1,0.1176,0.8235,0.0588,0.0231,-0.083,-0.0536
