dia,preco_max,preco_min,preco_fecho,quantidade_total,total_ordens_dia
2026-01-02,330.0,300.0,330.0,29,21
2026-01-05,367.0,348.0,348.0,146,88
2026-01-06,356.5,339.0,356.5,75,55
2026-01-07,400.0,365.01,396.0,232,161
2026-01-08,384.0,364.0,364.0,72,53
2026-01-09,375.0,349.01,358.0,61,37
2026-01-12,364.0,338.0,347.0,75,61
2026-01-13,369.0,356.0,360.0,69,53
2026-01-14,360.0,350.0,353.0,47,30
2026-01-15,360.0,337.0,338.0,117,82
2026-01-16,332.0,316.0,323.0,116,87
2026-01-19,350.0,338.0,346.0,83,53
2026-01-20,375.0,367.0,373.1,131,104
2026-01-21,366.0,354.0,358.0,88,69
2026-01-22,342.0,325.0,335.0,137,91
2026-01-23,325.0,315.0,324.0,78,63
2026-01-26,321.0,292.5,292.5,101,83
2026-01-27,300.0,284.0,300.0,98,73
2026-01-28,306.0,303.5,306.0,35,22
2026-01-29,318.0,303.0,318.0,88,56
2026-01-30,357.0,315.0,357.0,172,121
2026-02-02,408.5,375.5,405.0,186,119
2026-02-03,420.0,400.0,418.99,168,120
2026-02-04,439.0,416.0,416.0,84,66
2026-02-05,440.0,428.0,432.5,124,90
2026-02-06,461.0,440.0,461.0,98,68
2026-02-09,443.0,415.0,418.5,193,149
2026-02-10,390.0,350.0,351.0,211,139
2026-02-11,386.5,370.0,377.0,46,32
2026-02-12,395.0,380.0,388.0,48,36
2026-02-13,394.0,389.0,393.5,29,23
2026-02-18,402.0,385.0,402.0,43,25
2026-02-19,397.0,384.01,385.0,57,44
2026-02-20,397.0,386.0,395.0,34,28
2026-02-23,422.0,402.0,418.5,78,61
2026-02-24,423.5,418.5,420.0,58,47
2026-02-25,443.0,421.5,425.0,76,56
2026-02-26,433.0,420.0,424.0,49,30
2026-02-27,425.0,412.0,420.0,76,45
2026-03-02,358.0,335.0,337.01,122,77
2026-03-03,356.5,350.0,352.0,30,21
2026-03-04,340.0,322.0,322.0,39,28
2026-03-05,320.0,285.0,300.0,111,78
2026-03-06,308.0,298.0,300.0,36,25
2026-03-09,291.0,272.0,273.0,130,106
2026-03-10,278.0,265.05,278.0,70,48
2026-03-11,290.0,275.1,283.0,73,51
2026-03-12,286.0,270.0,285.0,39,28
2026-03-13,303.0,290.0,303.0,69,51
2026-03-16,317.0,290.0,294.0,114,87
2026-03-17,300.0,290.5,293.0,50,43
2026-03-18,302.5,292.0,301.0,23,16
2026-03-19,304.0,297.0,302.0,14,11
2026-03-20,313.0,300.0,311.5,17,16
2026-03-23,310.0,290.0,292.0,63,46
2026-03-24,248.0,225.0,236.5,159,114
2026-03-25,245.0,226.0,243.0,75,61
